road_type,hour,count_date,all_motor_vehicles
motorway,8,2023-09-11,2157.8333333333335
motorway,8,2023-09-12,3938.6666666666665
motorway,8,2023-09-13,4449.0
motorway,8,2023-09-14,2899.0
motorway,8,2023-09-15,4781.0
motorway,8,2023-09-18,4491.5
motorway,8,2023-09-19,3682.0
motorway,8,2023-09-20,3837.0
motorway,8,2023-09-21,2825.75
motorway,8,2023-09-22,2934.3333333333335
motorway,8,2023-09-26,2742.5
motorway,8,2023-09-27,3353.0
motorway,8,2023-09-28,3384.8571428571427
motorway,8,2023-09-29,3476.0833333333335
motorway,8,2023-10-03,2682.5
motorway,8,2023-10-06,3524.75
motorway,8,2023-10-09,3080.5
motorway,8,2023-10-10,2880.5
motorway,8,2023-10-11,1719.0
motorway,8,2023-10-12,3859.0
motorway,8,2023-10-17,5257.0
motorway,9,2023-03-15,200.0
motorway,9,2023-03-20,600.0
motorway,9,2023-03-27,2665.1428571428573
motorway,9,2023-03-29,2961.866666666667
motorway,9,2023-04-17,2190.0
motorway,9,2023-04-18,2466.3636363636365
motorway,9,2023-04-19,2802.8333333333335
motorway,9,2023-04-20,2506.1666666666665
motorway,9,2023-04-21,2143.5454545454545
motorway,9,2023-04-24,3425.75
motorway,9,2023-04-25,2643.3333333333335
motorway,9,2023-04-26,2388.4
motorway,9,2023-04-27,3074.0
motorway,9,2023-04-28,2062.5
motorway,9,2023-05-02,3933.5
motorway,9,2023-05-03,3352.9
motorway,9,2023-05-04,2746.1666666666665
motorway,9,2023-05-05,2821.5625
motorway,9,2023-05-09,2215.5
motorway,9,2023-05-10,2274.6
motorway,9,2023-05-11,2770.8571428571427
motorway,9,2023-05-15,2805.6666666666665
motorway,9,2023-05-16,2771.75
motorway,9,2023-05-17,2398.9
motorway,9,2023-05-18,2572.5
motorway,9,2023-05-19,2873.1666666666665
motorway,9,2023-05-22,2038.1666666666667
motorway,9,2023-05-23,3667.5
motorway,9,2023-05-24,3263.1666666666665
motorway,9,2023-05-25,3888.25
motorway,9,2023-05-26,4030.0
motorway,9,2023-06-05,2837.285714285714
motorway,9,2023-06-06,3129.25
motorway,9,2023-06-07,3168.6666666666665
motorway,9,2023-06-09,3350.625
motorway,9,2023-06-12,3212.6666666666665
motorway,9,2023-06-13,4770.0
motorway,9,2023-06-14,3298.5
motorway,9,2023-06-15,2358.0
motorway,9,2023-06-16,3746.5
motorway,9,2023-06-19,1878.25
motorway,9,2023-06-20,2799.75
motorway,9,2023-06-21,3166.6666666666665
motorway,9,2023-06-22,2360.4
motorway,9,2023-06-23,2430.75
